ปี,หมายเลขบ่อน้ำบาดาล / หมายเลขอื่น ๆ,สถานที่ตั้งบ่อ,จังหวัด,อำเภอ,ตำบล,ความลึกของบ่อ,pH,EC,ความขุ่น,สี,แคลเซียม,แมกนีเซียม,โซเดียม,โพแทสเซียม,เหล็ก,แมงกานีส,ทองแดง,สังกะสี,ซัลเฟต,คลอโรด์,คาร์บอเนต,โบคาร์บอเนต,ฟลูออไรด์,ไนไทรต์,ไนเทรด,ความกระด้างทั้งหมด,ความกระกระด่างถาวร,TDS,สารหนู,ตะกั่ว,แคดเมียม,โครเมียม,ปรอท,ซีลีเนียม
2562,5943G009,วัดสระบาป ตำบลคลองนารายณ์ อำเภอเมืองจันทบุรี จังหวัดจันทบุรี,จันทบุรี,เมืองจันทบุรี,คลองนารายณ์,60,8.2,288,-,-,4.8,1.1,58,1.4,0.2,0.0,0.0,0.0,< 1,2.0,0,190,0.3,0.00,< 0.9,16,0,187,,,,,,
2562,5943G013,โรงพยาบาลส่งเสริมสุขภาพตำบล ตำบลคลองพลู อำเภอเขาคิชฌกูฏ จังหวัดจันทบุรี,จันทบุรี,เขาคิชฌกูฏ,คลองพลู,52,8.3,263,-,-,44,3.2,9,0.9,0.2,0.4,0.0,0.1,< 1,< 1.5,18,145,0.1,0.00,< 0.9,120,0,171,,,,,,
2565,5909B014,บ้านหนองตาหงุ่น ตำบลนายายอาม อำเภอนายายอาม จังหวัดจันทบุรี,จันทบุรี,นายายอาม,นายายอาม,-,8.6,297,6.8,-,9.4,7.2,52,1.6,1.9,0.1,-,-,9,18,12,127,0.2,-,< 0.9,53,0,193,,,,,,
2565,5909B014,บ้านหนองตาหงุ่น ตำบลนายายอาม อำเภอนายายอาม จังหวัดจันทบุรี,จันทบุรี,นายายอาม,นายายอาม,-,7.6,300,0.9,-,9.1,5.8,52,1.7,1.4,0.2,-,-,8,17,0,147,0.2,-,< 0.9,47,0,195,,,,,,
2565,6509A016,บ้านคลองขวาง ตำบลแสลง อำเภอเมืองจันทบุรี จังหวัดจันทบุรี,จันทบุรี,เมืองจันทบุรี,แสลง,90,6.7,145,4.3,-,15,4.7,9.4,1.6,0.9,0.1,0.0,0.0,4,2.4,0,90,0.1,-,< 0.9,56,0,94,,,,,,
2565,6409E008,บ้านคลองหลอด บ่อที่ 3 ตำบลท่าช้าง อำเภอเมืองจันทบุรี จังหวัดจันทบุรี,จันทบุรี,เมืองจันทบุรี,ท่าช้าง,62,5.3,133,0.3,-,1.8,0.1,24,0.60,0.8,0.0,0.0,0.0,2,34,0,13,0.0,-,< 0.9,5,0,86,,,,,,
2565,6509A016,บ้านห้วยทับมอญ บ่อที่ 2 ตำบลห้วยทับมอญ อำเภอเขาชะเมา จังหวัดระยอง,ระยอง,เขาชะเมา,ห้วยทับมอญ,120,7.2,874,> 20,-,40,17,130,4.3,0.3,0.2,0.0,0.0,2,63,0,277,0.4,-,180,170,0,568,,,,,,
2565,6509A016,บ้านห้วยทับมอญ บ่อที่ 2 ตำบลห้วยทับมอญ อำเภอเขาชะเมา จังหวัดระยอง,ระยอง,เขาชะเมา,ห้วยทับมอญ,120,7.2,874,> 20,-,40,17,130,4.3,0.3,0.2,0.0,0.0,2,63,0,277,0.4,-,180,170,0,568,,,,,,
2565,6409G050,ทัณฑสถานเปิดทุ่งเบญจา บ้านเนินดินแดง ตำบลทุ่งเบญจา อำเภอท่าใหม่ จังหวัดจันทบุรี,จันทบุรี,ท่าใหม่,ทุ่งเบญจา,140,7.3,154,> 20,-,11,1.4,17,5.4,2.2,0.4,-,-,6,4.0,0,84,1.1,-,< 0.9,32,0,100,,,,,,
2565,5909F027,บ้านพญากำพุช ตำบลโป่งน้ำร้อน อำเภอโป่งน้ำร้อน จังหวัดจันทบุรี,จันทบุรี,โป่งน้ำร้อน,โป่งน้ำร้อน,-,8.6,756,> 20,-,10,23,150,0.67,0.0,0.0,-,-,33,8.4,48,384,0.6,-,< 0.9,120,0,491,,,,,,
2565,5909F027,บ้านพญากำพุช ตำบลโป่งน้ำร้อน อำเภอโป่งน้ำร้อน จังหวัดจันทบุรี,จันทบุรี,โป่งน้ำร้อน,โป่งน้ำร้อน,-,8.0,852,4.7,-,21,22,140,0.70,0.0,0.0,-,-,35,8.0,0,507,0.6,-,< 0.9,140,0,554,,,,,,
2565,5909F024,บ้านเครือหวาย ตำบลโป่งน้ำร้อน อำเภอโป่งน้ำร้อน จังหวัดจันทบุรี,จันทบุรี,โป่งน้ำร้อน,โป่งน้ำร้อน,-,7.6,970,0.5,-,20,60,80,0.40,0.0,0.0,-,-,10,45,0,489,0.6,-,< 0.9,300,0,630,,,,,,
2565,5909F024,บ้านเครือหวาย ตำบลโป่งน้ำร้อน อำเภอโป่งน้ำร้อน จังหวัดจันทบุรี,จันทบุรี,โป่งน้ำร้อน,โป่งน้ำร้อน,-,7.7,"1,170",5.2,-,25,77,92,0.60,0.0,0.0,-,-,19,40,0,586,0.7,-,< 0.9,340,0,760,,,,,,
2565,5909B023,บ้านห้วงหิน ตำบลนายายอาม อำเภอนายายอาม จังหวัดจันทบุรี,จันทบุรี,นายายอาม,นายายอาม,-,8.0,"2,570",0.7,-,9.6,21,630,4.2,0.9,0.0,-,-,350,360,0,611,0.6,-,< 0.9,110,0,"1,670",,,,,,
2564,6309E062,บ้านทุ่งยายทอง ตำบลแก่งหางแมว อำเภอแก่งหางแมว จังหวัดจันทบุรี,จันทบุรี,แก่งหางแมว,แก่งหางแมว,54,7.7,346,-,-,24,2.5,60,2.2,0.1,0.0,-,-,1,7.2,0,232,2.3,-,< 0.9,70,0,225,,,,,,
2565,5909A026,บ้านเนินมณฑา ตำบลกระแจะ อำเภอนายายอาม จังหวัดจันทบุรี,จันทบุรี,นายายอาม,กระแจะ,-,7.5,408,4.9,-,74,7.4,2.5,0.22,0.6,0.1,-,-,1,8.8,0,259,0.1,-,< 0.9,210,3,265,,,,,,
2563,6209C028,บ้านคานรูด ตำบลเกวียนหัก อำเภอขลุง จังหวัดจันทบุรี,จันทบุรี,ขลุง,เกวียนหัก,92,7.0,207,-,-,20,12,12,2.7,0.4,0.0,-,-,1,6.0,0,138,0.4,0.00,5.0,99,0,135,,,,,,
2564,6309A064,บ้านห้วงปลาดุก บ่อที่ 2 ตำบลนายายอาม อำเภอนายายอาม จังหวัดจันทบุรี,จันทบุรี,นายายอาม,นายายอาม,92,7.1,228,-,-,2.9,2.9,47,0.50,0.2,0.3,-,-,10,25,0,90,0.5,-,< 0.9,19,0,148,,,,,,
2562,6209A017,โรงเรียนบ้านชากไทย (จงจินต์ประชานุเคราะห์) ตำบลชากไทย อำเภอเขาคิชฌกูฏ จังหวัดจันทบุรี,จันทบุรี,เขาคิชฌกูฏ,ชากไทย,100,8.5,223,-,-,29,1.3,17,4.9,2.3,0.3,-,-,6,4.8,12,117,0.5,0.07,< 0.9,78,0,145,,,,,,
2563,6309F002,บ้านตรอกประดู่ ตำบลสนามไชย อำเภอนายายอาม จังหวัดจันทบุรี,จันทบุรี,นายายอาม,สนามไชย,86,8.2,258,-,-,20,8.6,26,3.0,0.1,0.0,0.0,0.0,1,9.6,0,158,0.3,-,1.2,85,0,168,,,,,,
2565,6309F057,บ้านเนินมณฑา บ่อที่2 ตำบลกระแจะ อำเภอนายายอาม จังหวัดจันทบุรี,จันทบุรี,นายายอาม,กระแจะ,80,7.4,"2,100",0.8,-,210,16,170,1.3,3.5,0.4,-,-,54,510,0,112,0.1,-,< 0.9,580,490,"1,360",,,,,,
2568,5943G022,โรงพยาบาลส่งเสริมสุขภาพตำบลขุนซ่อง ตำบลขุนซ่อง อำเภอแก่งหางแมว จังหวัดจันทบุรี,จันทบุรี,แก่งหางแมว,ขุนซ่อง,60,7.2,805,-,-,73,34,68,0.40,0.1,0.0,0.0,0.0,2,14,0,557,0.3,0.00,< 0.9,320,0,523,,,,,,
2568,5809C072,ปากทางหมู่ 2 บ้านไร่ป๋า ตำบลเขาบายศรี อำเภอท่าใหม่ จังหวัดจันทบุรี,จันทบุรี,ท่าใหม่,เขาบายศรี,-,7.0,80,0.2,-,10,2.2,2.9,0.45,0.0,0.0,0.0,0.5,2,1.6,0,40,0.1,0.00,4.6,35,2,52,,,,,,
2568,6109E054,โรงเรียนบ้านแก้ว บ้านดงชะมูล ตำบลท่าช้าง อำเภอเมืองจันทบุรี จังหวัดจันทบุรี,จันทบุรี,เมืองจันทบุรี,ท่าช้าง,-,7.1,162,1.7,-,17,3.5,9.9,0.69,0.2,0.0,0.0,0.1,12,5.6,0,73,0.1,0.00,1.8,58,0,105,,,,,,
2567,6709I001,วิสาหกิจชุมชนเกษตรรุ่นใหม่พัฒนา ตำบลทับไทร อำเภอโป่งน้ำร้อน จังหวัดจันทบุรี,จันทบุรี,โป่งน้ำร้อน,ทับไทร,290,7.6,"1,140",> 20,-,42,23,210,2.9,0.7,0.0,0.0,0.0,12,17,0,713,0.1,-,< 0.9,200,0,741,,,,,,
2568,6409G010,โรงเรียนตำรวจตระเวนชายแดนบ้านเขาสารภี ตำบลทับพริก อำเภออรัญประเทศ จังหวัดสระแก้ว,สระแก้ว,อรัญประเทศ,ทับพริก,92,6.9,755,2.9,-,120,14,34,0.25,15,0.1,0.0,0.7,16,9.6,0,466,0.3,-,15,350,0,491,,,,,,
2568,6409G010,โรงเรียนตำรวจตระเวนชายแดนบ้านเขาสารภี ตำบลทับพริก อำเภออรัญประเทศ จังหวัดสระแก้ว,สระแก้ว,อรัญประเทศ,ทับพริก,92,6.9,735,0.2,-,120,12,25,0.43,0.0,0.0,0.0,0.0,16,8.8,0,454,0.3,-,17,350,0,478,,,,,,
2565,6409G010,โรงเรียนตำรวจตระเวนชายแดนบ้านเขาสารภี ตำบลทับพริก อำเภออรัญประเทศ จังหวัดสระแก้ว,สระแก้ว,อรัญประเทศ,ทับพริก,-,7.6,786,-,-,130,18,24,0.32,0.0,0.0,0.0,0.2,19,18,0,470,0.2,0.07,21,390,4,511,,,,,,
2565,6509B005,เทศบาลตำบลปัถวี ตำบลปัถวี อำเภอมะขาม จังหวัดจันทบุรี,จันทบุรี,มะขาม,ปัถวี,74,7.3,320,2.5,-,43,6.3,23,1.8,5.6,0.9,-,-,2,4.4,0,202,0.2,-,21,130,0,208,,,,,,
2564,6409F007,เทศบาลตำบลปัถวี บ่อที่ 3 ตำบลปัถวี อำเภอมะขาม จังหวัดจันทบุรี,จันทบุรี,มะขาม,ปัถวี,100,8.2,453,-,-,41,9.7,56,3.6,2.6,0.2,-,-,1,8.8,0,337,0.2,-,6.7,140,0,294,,,,,,
2562,6109E053,โรงเรียนศรีรัตน์ราษฎร์อนุเคราะห์ ตำบลทุ่งเบญจา อำเภอท่าใหม่ จังหวัดจันทบุรี,จันทบุรี,ท่าใหม่,ทุ่งเบญจา,74,6.3,12,0.1,0,0.0,1.4,< 4,0.7,0.0,0.0,0.0,0.0,< 1,< 1.5,0,6,0.0,0.00,< 0.9,6,1,8,,,,,,
2562,6109E053,โรงเรียนศรีรัตน์ราษฎร์อนุเคราะห์ ตำบลทุ่งเบญจา อำเภอท่าใหม่ จังหวัดจันทบุรี,จันทบุรี,ท่าใหม่,ทุ่งเบญจา,74,8.3,228,-,-,72,16,10,0.6,1.1,0.3,0.0,0.2,5,14,27,218,0.1,2.6,25,250,25,148,,,,,,
2565,6409B010,ศูนย์พัฒนาเด็กเล็กเทศบาลตำบลซึ้ง บ่อที่3 ตำบลซึ้ง อำเภอขลุง จังหวัดจันทบุรี,จันทบุรี,ขลุง,ซึ้ง,104,6.1,61,0.1,-,5.6,1.8,3.9,1.1,2.4,0.0,0.0,2.5,1,7.2,0,23,0.0,-,4.7,21,2,40,,,,,,
2565,6409B010,ศูนย์พัฒนาเด็กเล็กเทศบาลตำบลซึ้ง บ่อที่3 ตำบลซึ้ง อำเภอขลุง จังหวัดจันทบุรี,จันทบุรี,ขลุง,ซึ้ง,104,6.1,61,0.1,-,5.6,1.8,3.9,1.1,2.4,0.0,0.0,2.5,1,7.2,0,23,0.0,-,4.7,21,2,40,,,,,,
2565,6409F007,เทศบาลตำบลปัถวี บ่อที่3 ตำบลปัถวี อำเภอมะขาม จังหวัดจันทบุรี,จันทบุรี,มะขาม,ปัถวี,100,7.2,515,1.5,-,84,1.5,54,1.6,1.2,0.5,0.0,0.3,5,6.8,0,347,0.2,-,8.0,220,0,335,,,,,,
2564,6409B010,ศูนย์พัฒนาเด็กเล็กเทศบาลตำบลซึ้ง บ่อที่ 3 ตำบลซึ้ง อำเภอขลุง จังหวัดจันทบุรี,จันทบุรี,ขลุง,ซึ้ง,104,6.9,80,-,-,5.8,1.3,8.2,1.9,0.3,0.0,-,-,1,10,0,22,0.0,-,9.7,20,1,52,,,,,,
2564,6409B010,ศูนย์พัฒนาเด็กเล็กเทศบาลตำบลซึ้ง บ่อที่ 3 ตำบลซึ้ง อำเภอขลุง จังหวัดจันทบุรี,จันทบุรี,ขลุง,ซึ้ง,104,6.9,80,-,-,5.8,1.3,8.2,1.9,0.3,0.0,-,-,1,10,0,22,0.0,-,9.7,20,1,52,,,,,,
2564,6409B010,ศูนย์พัฒนาเด็กเล็กเทศบาลตำบลซึ้ง บ่อที่ 3 ตำบลซึ้ง อำเภอขลุง จังหวัดจันทบุรี,จันทบุรี,ขลุง,ซึ้ง,104,8.8,194,-,-,13,18,9.3,1.7,0.0,0.2,-,-,1,8.0,57,37,0.1,-,3.2,110,0,126,,,,,,
2564,6409B010,ศูนย์พัฒนาเด็กเล็กเทศบาลตำบลซึ้ง บ่อที่ 3 ตำบลซึ้ง อำเภอขลุง จังหวัดจันทบุรี,จันทบุรี,ขลุง,ซึ้ง,104,8.8,194,-,-,13,18,9.3,1.7,0.0,0.2,-,-,1,8.0,57,37,0.1,-,3.2,110,0,126,,,,,,
2565,5509D033,ศูนย์พัฒนาไม้ผลอันเนื่องมาจากพระราชดำริ ตำบลท่าหลวง อำเภอมะขาม จังหวัดจันทบุรี,จันทบุรี,มะขาม,ท่าหลวง,-,7.4,138,2.6,-,11,4.4,6.2,4.4,4.5,0.1,-,-,< 1,2.0,0,84,0.2,-,< 0.9,46,0,90,,,,,,
2564,6409G010,โรงเรียนตำรวจตระเวนชายแดนบ้านเขาสารภี ตำบลทับพริก อำเภออรัญประเทศ จังหวัดสระแก้ว,สระแก้ว,อรัญประเทศ,ทับพริก,92,6.7,750,-,-,130,16,23,0.28,0.0,0.0,-,-,17,12,0,466,0.4,-,19,380,0,488,,,,,,
2568,5943G052,โรงพยาบาลส่งเริมสุขภาพตำบลชากชุม ตำบลเขาแก้ว อำเภอท่าใหม่ จังหวัดจันทบุรี,จันทบุรี,ท่าใหม่,เขาแก้ว,22,5.9,45,-,-,5.8,0.9,1.8,0.12,0.5,0.1,0.0,0.0,< 1,2.4,0,19,0.0,0.00,4.4,18,2,29,,,,,,
2564,6409G010,โรงเรียนตำรวจตระเวนชายแดนบ้านเขาสารภี ตำบลทับพริก อำเภออรัญประเทศ จังหวัดสระแก้ว,สระแก้ว,อรัญประเทศ,ทับพริก,92,7.6,453,-,-,29,14,27,1.0,0.0,0.0,-,-,21,18,0,167,0.5,-,31,130,0,294,,,,,,
2564,6309D040,บ้านห้วงปลาดุก บ่อที่ 1 ตำบลนายายอาม อำเภอนายายอาม จังหวัดจันทบุรี,จันทบุรี,นายายอาม,นายายอาม,134,7.0,"1,490",-,-,120,48,150,2.4,0.1,0.1,-,-,680,8.0,0,179,0.3,0.00,4.7,500,360,968,,,,,,
2562,6109E055,โรงเรียนวัดตกพรม ตำบลตกพรม อำเภอขลุง จังหวัดจันทบุรี,จันทบุรี,ขลุง,ตกพรม,78,8.1,432,-,-,71,7.5,13,1.1,0.5,0.8,0.0,18,4,14,0,266,0.1,0.00,< 0.9,210,0,281,,,,,,
2562,6109E055,โรงเรียนวัดตกพรม ตำบลตกพรม อำเภอขลุง จังหวัดจันทบุรี,จันทบุรี,ขลุง,ตกพรม,78,6.4,11,0.2,0,0.0,1.2,< 4,0.8,0.0,0.0,0.0,0.0,< 1,< 1.5,0,7,0.0,0.00,< 0.9,5,0,7,,,,,,
2565,6009F006,บ้านมะขาม ตำบลมะขาม อำเภอมะขาม จังหวัดจันทบุรี,จันทบุรี,มะขาม,มะขาม,-,8.0,694,7.8,-,20,5.4,140,0.72,1.0,0.1,-,-,49,24,0,379,0.7,-,< 0.9,72,0,451,,,,,,
2565,6009F006,บ้านมะขาม ตำบลมะขาม อำเภอมะขาม จังหวัดจันทบุรี,จันทบุรี,มะขาม,มะขาม,-,8.3,699,0.6,-,14,4.1,150,0.77,0.3,0.1,-,-,48,24,33,298,0.7,-,< 0.9,51,0,454,,,,,,
2565,6409B009,ศูนย์พัฒนาเด็กเล็กเทศบาลตำบลซึ้ง บ่อที่2 ตำบลซึ้ง อำเภอขลุง จังหวัดจันทบุรี,จันทบุรี,ขลุง,ซึ้ง,104,7.2,214,14,-,30,5.2,15,0.92,0.4,0.1,0.0,3.2,2,2.8,0,142,0.1,-,< 0.9,97,0,139,,,,,,
2563,5409D023,โรงเรียนตำรวจตระเวนชายแดน สิงค์โปร์แอร์ไลน์ เฉลิมพระเกียรติ บ้านหนองบอน (บ่อ2) ตำบลทุ่งขนาน อำเภอสอยดาว จังหวัดจันทบุรี,จันทบุรี,สอยดาว,ทุ่งขนาน,27,7.8,819,-,-,75,44,42,4.0,0.0,0.0,-,-,32,52,0,430,0.2,0.00,5.3,370,14,532,,,,,,
2563,5409D023,โรงเรียนตำรวจตระเวนชายแดน สิงค์โปร์แอร์ไลน์ เฉลิมพระเกียรติ บ้านหนองบอน (บ่อ2) ตำบลทุ่งขนาน อำเภอสอยดาว จังหวัดจันทบุรี,จันทบุรี,สอยดาว,ทุ่งขนาน,27,7.8,859,0.3,0,82,49,41,4.0,0.0,0.0,0.1,0.3,31,51,0,450,0.2,0.03,4.9,400,36,558,,,,,,
2565,5909B009,บ้านเขาส้มป่อย ตำบลแก่งหางแมว อำเภอแก่งหางแมว จังหวัดจันทบุรี,จันทบุรี,แก่งหางแมว,แก่งหางแมว,-,9.1,"1,170",1.9,-,14,10,240,5.1,0.0,0.1,-,-,170,160,40,153,0.4,-,4.2,77,0,760,,,,,,
2565,5909B009,บ้านเขาส้มป่อย ตำบลแก่งหางแมว อำเภอแก่งหางแมว จังหวัดจันทบุรี,จันทบุรี,แก่งหางแมว,แก่งหางแมว,-,9.1,"1,190",2.3,-,24,11,240,4.6,0.1,0.1,-,-,170,160,45,169,0.4,-,3.9,100,0,774,,,,,,
2564,6409E006,บ้านคลองหลอด บ่อที่ 1 ตำบลท่าช้าง อำเภอเมืองจันทบุรี จังหวัดจันทบุรี,จันทบุรี,เมืองจันทบุรี,ท่าช้าง,62,7.7,191,-,-,11,11,21,4.1,9.5,0.5,-,-,2,31,0,81,0.1,-,< 0.9,71,5,124,,,,,,
2564,6409B010,ศูนย์พัฒนาเด็กเล็กเทศบาลตำบลซึ้ง ตำบลซึ้ง อำเภอขลุง จังหวัดจันทบุรี,จันทบุรี,ขลุง,ซึ้ง,104,8.2,244,-,-,24,3.6,29,1.9,0.1,0.0,-,-,3,6.8,0,172,0.1,-,< 0.9,76,0,159,,,,,,
2564,6409B010,ศูนย์พัฒนาเด็กเล็กเทศบาลตำบลซึ้ง ตำบลซึ้ง อำเภอขลุง จังหวัดจันทบุรี,จันทบุรี,ขลุง,ซึ้ง,104,8.2,244,-,-,24,3.6,29,1.9,0.1,0.0,-,-,3,6.8,0,172,0.1,-,< 0.9,76,0,159,,,,,,
2563,6309H004,บ้านหนองหงส์ ตำบลสนามไชย อำเภอนายายอาม จังหวัดจันทบุรี,จันทบุรี,นายายอาม,สนามไชย,51,7.1,373,-,-,47,19,3.7,1.7,0.0,0.3,0.0,0.0,< 1,8.8,0,203,0.1,-,26,200,29,242,,,,,,
2563,6109B001,บ้านหมื่นซ่อง ตำบลกระแจะ อำเภอนายายอาม จังหวัดจันทบุรี,จันทบุรี,นายายอาม,กระแจะ,82,7.2,466,-,-,73,9.7,15,0.48,1.7,1.0,0.0,7.6,1,12,0,282,0.1,-,< 0.9,220,0,303,,,,,,
2563,6309H001,บ้านหนองหงส์ ตำบลสนามไชย อำเภอนายายอาม จังหวัดจันทบุรี,จันทบุรี,นายายอาม,สนามไชย,80,6.8,306,-,-,35,15,6.4,0.71,0.0,0.0,0.0,0.0,5,8.0,0,128,0.1,-,48,150,42,199,,,,,,
2563,6109G016,บ้านหนองบัวใน ตำบลกระแจะ อำเภอนายายอาม จังหวัดจันทบุรี,จันทบุรี,นายายอาม,กระแจะ,,7.5,"1,750",-,-,110,100,83,2.5,1.6,0.2,0.0,0.1,38,440,0,241,0.1,-,1.8,690,500,"1,140",,,,,,
2562,6109E053,โรงเรียนศรีรัตน์ราษฎร์อนุเคราะห์ ตำบลทุ่งเบญจา อำเภอท่าใหม่ จังหวัดจันทบุรี,จันทบุรี,ท่าใหม่,ทุ่งเบญจา,74,7.5,259,-,-,22,1.5,33,1.4,0.4,0.1,-,-,7,16,0,123,0.4,-,< 0.9,60,0,168,,,,,,
2568,6709F028,บ้านคลองขวาง (บ่อที่ 1) ตำบลแสลง อำเภอเมืองจันทบุรี จังหวัดจันทบุรี,จันทบุรี,เมืองจันทบุรี,แสลง,86,4.9,76,2.8,-,5.3,4.4,1.6,1.5,0.9,0.3,0.0,0.0,4,2.4,0,37,0.1,-,1.6,31,1,49,,,,,,
2568,6009G057,โรงเรียนวัดแก่งหางแมว ตำบลแก่งหางแมว อำเภอแก่งหางแมว จังหวัดจันทบุรี,จันทบุรี,แก่งหางแมว,แก่งหางแมว,-,6.7,170,0.3,-,13,7.7,12,1.0,0.0,0.0,0.0,0.0,2,10,0,81,0.3,0.00,3.1,65,0,110,,,,,,
2568,6409B010,ศูนย์พัฒนาเด็กเล็กเทศบาลตำบลซึ้ง ตำบลซึ้ง อำเภอขลุง จังหวัดจันทบุรี,จันทบุรี,ขลุง,ซึ้ง,-,6.8,117,0.5,-,15,1.5,6.4,1.1,0.1,0.0,0.0,0.4,5,4.4,0,60,0.1,0.00,4.7,44,0,76,,,,,,
2562,6109E054,โรงเรียนบ้านแก้ว ตำบลท่าช้าง อำเภอเมืองจันทบุรี จังหวัดจันทบุรี,จันทบุรี,เมืองจันทบุรี,ท่าช้าง,72,7.5,258,-,-,16,3.2,39,1.7,0.5,0.1,-,-,3,17,0,123,0.5,-,< 0.9,53,0,168,,,,,,
2564,6409G022,ทัณฑสถานเปิดทุ่งเบญจา บ้านเนินดินแดง ตำบลทุ่งเบญจา อำเภอท่าใหม่ จังหวัดจันทบุรี,จันทบุรี,ท่าใหม่,ทุ่งเบญจา,-,8.0,246,0.1,0,36,4.2,12,5.1,0.1,0.4,0.0,0.3,< 1,2.4,0,157,0.7,-,< 0.9,110,0,160,,,,,,
2568,5509C014,บ้านเขาสุกิม ตำบลเขาบายศรี อำเภอท่าใหม่ จังหวัดจันทบุรี,จันทบุรี,ท่าใหม่,เขาบายศรี,-,6.3,58,1.4,-,6.6,1.3,3.6,3.1,0.3,0.0,0.0,0.0,1,4.8,0,32,0.1,0.00,1.4,22,0,38,,,,,,
2568,5509C014,บ้านเขาสุกิม ตำบลเขาบายศรี อำเภอท่าใหม่ จังหวัดจันทบุรี,จันทบุรี,ท่าใหม่,เขาบายศรี,-,6.1,93,0.5,-,8.2,5.0,3.1,3.0,12,1.9,0.0,0.0,1,4.4,0,57,0.1,0.00,< 0.9,41,0,60,,,,,,
2568,5809C072,ปากทางหมู่ 2 บ้านไร่ป๋า ตำบลเขาบายศรี อำเภอท่าใหม่ จังหวัดจันทบุรี,จันทบุรี,ท่าใหม่,เขาบายศรี,-,6.8,65,15,-,6.1,2.5,3.3,0.51,0.6,0.1,0.0,0.5,2,2.0,0,33,0.1,0.00,5.4,26,0,42,,,,,,
2568,6409B010,ศูนย์พัฒนาเด็กเล็กเทศบาลตำบลซึ้ง ตำบลซึ้ง อำเภอขลุง จังหวัดจันทบุรี,จันทบุรี,ขลุง,ซึ้ง,-,6.8,117,0.5,-,15,1.5,6.4,1.1,0.1,0.0,0.0,0.4,5,4.4,0,60,0.1,0.00,4.7,44,0,76,,,,,,
2568,5709E041,โรงเรียนบ้านคลองลาว จุด 1 ตำบลวังใหม่ อำเภอนายายอาม จังหวัดจันทบุรี,จันทบุรี,นายายอาม,วังใหม่,,7.0,414,3.2,-,58,17,14,0.45,0.4,0.1,0.0,0.0,2,4.0,0,272,0.2,0.00,< 0.9,210,0,269,,,,,,
2568,5809D041,วัดหนองปลาไหล บ้านดอน ตำบลวังสรรพรส อำเภอขลุง จังหวัดจันทบุรี,จันทบุรี,ขลุง,วังสรรพรส,-,6.2,59,3.4,-,5.6,1.9,5.2,0.23,0.5,0.0,0.0,0.0,1,1.6,0,34,0.1,0.00,4.7,22,0,38,,,,,,
2562,6209A016,โรงเรียนวัดทุ่งเบญจา ตำบลทุ่งเบญจา อำเภอท่าใหม่ จังหวัดจันทบุรี,จันทบุรี,ท่าใหม่,ทุ่งเบญจา,62,7.2,279,-,-,39,10,10,0.6,1.9,0.2,-,-,2,5.2,0,187,0.1,0.00,0.9,140,0,181,,,,,,
2562,6209A013,โรงเรียนบ้านหนองบอน ตำบลคลองใหญ่ อำเภอโป่งน้ำร้อน จังหวัดจันทบุรี,จันทบุรี,โป่งน้ำร้อน,คลองใหญ่,86,7.3,20,0.1,0,2.9,0.2,< 4,< 0.4,0.0,0.0,0.0,0.0,2,< 1.5,0,12,0.0,0.00,< 0.9,8,0,13,,,,,,
2565,6009F003,บ้านเนินสถิต ตำบลนายายอาม อำเภอนายายอาม จังหวัดจันทบุรี,จันทบุรี,นายายอาม,นายายอาม,-,7.6,"2,640",0.3,-,170,27,430,1.0,3.3,1.3,-,-,560,430,0,291,0.2,-,< 0.9,530,290,"1,720",,,,,,
2565,6009F003,บ้านเนินสถิต ตำบลนายายอาม อำเภอนายายอาม จังหวัดจันทบุรี,จันทบุรี,นายายอาม,นายายอาม,-,7.7,"1,460",12,-,63,16,280,0.73,32,0.8,-,-,180,160,0,438,0.4,-,2.5,220,0,949,,,,,,
